Pick #	MLS team	Player	Position	College	PDL or NPSL affiliation	Signed
1	Minnesota United FC	 Abu Danladi*	Forward	UCLA	Ventura County Fusion	 Minnesota United FC
2	Atlanta United FC	 Miles Robinson*	Defender	Syracuse	FC Boston	 Atlanta United FC
3	New York City FC[R1 trade 1]	 Jonathan Lewis*	Forward	Akron		 New York City FC
4	Portland Timbers[R1 trade 2]	 Jeremy Ebobisse*	Forward	Duke	D.C. United U-23	 Portland Timbers
5	Columbus Crew SC	 Lalas Abubakar	Defender	Dayton	Michigan Bucks	 Columbus Crew SC
6	San Jose Earthquakes	 Jackson Yueill*	Midfielder	UCLA		 San Jose Earthquakes
7	Vancouver Whitecaps FC	 Jake Nerwinski	Defender	Connecticut		 Vancouver Whitecaps FC
8	Atlanta United FC[R1 trade 3]	 Julian Gressel	Midfielder	Providence		 Atlanta United FC
9	Columbus Crew SC[R1 trade 4]	 Niko Hansen	Forward	New Mexico	Seattle Sounders U-23	 Columbus Crew SC
10	Houston Dynamo[R1 trade 5]	 Joe Holland	Midfielder	Hofstra	Ventura County Fusion	 Houston Dynamo
11	Chicago Fire[R1 trade 6]	 Daniel Johnson	Midfielder	Louisville	Portland Timbers U23s	 Chicago Fire
12	D.C. United	 Chris Odoi-Atsem	Defender	Maryland		 D.C. United
13	Real Salt Lake	 Reagan Dunk	Defender	Denver		 Real Salt Lake
14	Sporting Kansas City	 Colton Storm	Defender	North Carolina	Portland Timbers U23s	 Sporting Kansas City
15	Colorado Rapids[R1 trade 7]	 Sam Hamilton	Midfielder	Denver		 Colorado Rapids
16	New York City FC[R1 trade 8]	 Kwame Awuah	Midfielder	Connecticut	Sigma FC	 New York City FC
17	New York Red Bulls	 Zeiko Lewis	Midfielder	Boston College	Real Boston Rams	 New York Red Bulls
18	FC Dallas	 Jacori Hayes	Midfielder	Wake Forest	Portland Timbers U23s	 FC Dallas
19	Montreal Impact	 Nick DePuy	Forward	UC Santa Barbara	Ventura County Fusion	 Montreal Impact
20	New England Revolution[R1 trade 9]	 Brian Wright	Forward	Vermont	Burlingame Dragons	 New England Revolution
21	Toronto FC	 Brandon Aubrey	Defender	Notre Dame		 Toronto FC
22	Seattle Sounders FC	 Brian Nana-Sinkam	Defender	Stanford	Burlingame Dragons	Seattle Sounders FC 2
23	Minnesota United FC	 Alec Ferrell	Goalkeeper	Wake Forest	Carolina Dynamo	Unsigned
24	Colorado Rapids[R2 trade 1]	 Liam Callahan	Defender	Syracuse	K-W United	 New York Cosmos B
25	Philadelphia Union[R2 trade 2]	 Marcus Epps	Midfielder	South Florida	Chicago Fire U-23	 Philadelphia Union
26	Chicago Fire[R2 trade 3]	 Stefan Cleveland	Goalkeeper	Louisville	Dayton Dutch Lions	 Chicago Fire
27	Chicago Fire[R2 trade 4]	 Guillermo Delgado	Forward	Delaware	Seattle Sounders U-23	 RGVFC Toros
28	San Jose Earthquakes	 Lindo Mfeka	Midfielder	South Florida	Reading United	 San Jose Earthquakes
29	Vancouver Whitecaps FC	 Francis de Vries	Defender	Saint Francis (PA)	Michigan Bucks	Whitecaps FC 2
30	Houston Dynamo[R2 trade 5]	 Jake McGuire	Goalkeeper	Tulsa	Portland Timbers U23s	 Philadelphia Union
31	New England Revolution	 Napo Matsoso	Midfielder	Kentucky	Derby City Rovers	 Mississippi Brilla
32	Portland Timbers	 Michael Amick	Defender	UCLA	FC Golden State Force	Portland Timbers 2
33	Philadelphia Union	 Aaron Jones	Defender	Clemson	Carolina Dynamo	 Philadelphia Union
34	D.C. United	 Eric Klenofsky	Goalkeeper	Monmouth	New York Red Bulls U-23	 D.C. United
35	Real Salt Lake	 Justin Schmidt	Defender	Washington	Washington Crossfire	 Real Salt Lake
36	Houston Dynamo[R2 trade 6]	 Danilo Radjen	Defender	Akron	West Virginia Chaos	 New York Cosmos B
37	FC Dallas[R2 trade 7]	 Walker Hume	Defender	North Carolina	Portland Timbers U23s	 FC Dallas
38	New York City FC	 Jalen Brown	Forward	Xavier	Des Moines Menace	 Rochester Rhinos
39	New York Red Bulls	 Ethan Kutler	Forward	Colgate	Michigan Bucks	 New York Red Bulls II
40	FC Dallas	 Adonijah Reid*	Forward		ANB Futbol	 FC Dallas
41	Montreal Impact	 Shamit Shome*	Midfielder		FC Edmonton	 Montreal Impact
42	Minnesota United FC[R2 trade 8]	 Thomas de Villardi	Defender	Delaware	New York Red Bulls U-23	 Minnesota United FC
43	D.C. United[R2 trade 9]	 Jo Vetle Rimstad	Defender	Radford		 Gran IL
44	Seattle Sounders FC	 Dominic Oduro	Defender		FC Nordsjælland	 FC Golden State Force
